time,num1,num2,result,answer,correct,date,operation
2.805963900056668,3,9,12,12,1,March and start April,<ufunc 'add'>
1.3553423999110237,2,2,4,4,1,March and start April,<ufunc 'add'>
1.9124586000107229,14,14,28,28,1,March and start April,<ufunc 'add'>
1.546007000026293,12,12,24,24,1,March and start April,<ufunc 'add'>
1.4825489000650125,14,10,24,24,1,March and start April,<ufunc 'add'>
1.63709759991616,14,3,17,17,1,March and start April,<ufunc 'add'>
1.1514592000748962,3,6,9,9,1,March and start April,<ufunc 'add'>
0.9659232000121848,3,1,4,4,1,March and start April,<ufunc 'add'>
3.172084199963137,13,8,21,21,1,March and start April,<ufunc 'add'>
1.3088302999967711,1,3,4,4,1,March and start April,<ufunc 'add'>
2.2983670000685383,4,7,11,11,1,March and start April,<ufunc 'add'>
1.8098717000102624,13,10,23,23,1,March and start April,<ufunc 'add'>
0.9316619000164792,0,1,1,1,1,March and start April,<ufunc 'add'>
2.5922363999998197,11,13,24,24,1,March and start April,<ufunc 'add'>
1.9081537000602111,8,5,13,13,1,March and start April,<ufunc 'add'>
1.7250184000004083,4,3,7,7,1,March and start April,<ufunc 'add'>
0.99525610008277,6,0,6,6,1,March and start April,<ufunc 'add'>
1.2562307000625879,5,4,9,9,1,March and start April,<ufunc 'add'>
2.028290099930018,8,7,15,15,1,March and start April,<ufunc 'add'>
1.179672500002198,0,11,11,11,1,March and start April,<ufunc 'add'>
1.3264824000652882,10,1,11,11,1,March and start April,<ufunc 'add'>
1.2718413999537006,0,3,3,3,1,March and start April,<ufunc 'add'>
2.2219943000236526,8,2,10,10,1,March and start April,<ufunc 'add'>
3.1236253000097345,13,8,21,21,1,March and start April,<ufunc 'add'>
2.0753601000178605,6,2,8,8,1,March and start April,<ufunc 'add'>
2.442027000011876,2,10,12,12,1,March and start April,<ufunc 'add'>
1.2662580999312922,0,14,14,14,1,March and start April,<ufunc 'add'>
1.6063083000481129,14,10,24,24,1,March and start April,<ufunc 'add'>
2.905127399950288,7,7,14,14,1,March and start April,<ufunc 'add'>
1.8864780999720097,0,13,13,13,1,March and start April,<ufunc 'add'>
3.4862645999528468,5,9,14,14,1,March and start April,<ufunc 'add'>
1.4375705999555066,7,2,9,9,1,March and start April,<ufunc 'add'>
2.092643999960273,8,14,22,22,1,March and start April,<ufunc 'add'>
1.0702391000231728,4,5,9,9,1,March and start April,<ufunc 'add'>
1.3399471000302583,5,10,15,15,1,March and start April,<ufunc 'add'>
2.497833000030369,11,12,23,23,1,March and start April,<ufunc 'add'>
2.3201084000756964,10,11,21,21,1,March and start April,<ufunc 'add'>
5.01215950003825,8,5,13,13,1,March and start April,<ufunc 'add'>
3.2982717000413686,9,1,10,10,1,March and start April,<ufunc 'add'>
2.4225501000182703,7,11,18,18,1,March and start April,<ufunc 'add'>
1.609097299980931,10,7,17,17,1,March and start April,<ufunc 'add'>
1.3850032000336796,2,7,9,9,1,March and start April,<ufunc 'add'>
1.2317471000133082,2,2,4,4,1,March and start April,<ufunc 'add'>
1.1608907000627369,0,2,2,2,1,March and start April,<ufunc 'add'>
1.826148599968292,1,16,17,17,1,March and start April,<ufunc 'add'>
7.402345500071533,16,18,34,34,1,March and start April,<ufunc 'add'>
1.6102804000256583,14,0,14,14,1,March and start April,<ufunc 'add'>
1.9019894000375643,6,18,24,24,1,March and start April,<ufunc 'add'>
3.783263700082898,19,9,28,28,1,March and start April,<ufunc 'add'>
1.694156299927272,4,15,19,19,1,March and start April,<ufunc 'add'>
4.329736699932255,4,19,23,23,1,March and start April,<ufunc 'add'>
2.639119900064543,9,17,26,26,1,March and start April,<ufunc 'add'>
1.2546550000552088,4,4,8,8,1,March and start April,<ufunc 'add'>
6.654819899937137,19,17,36,36,1,March and start April,<ufunc 'add'>
2.7869095000205566,7,19,26,26,1,March and start April,<ufunc 'add'>
4.456916199997068,13,11,24,24,1,March and start April,<ufunc 'add'>
1.907364299986512,13,13,26,26,1,March and start April,<ufunc 'add'>
2.3628371999366213,9,6,15,15,1,March and start April,<ufunc 'add'>
2.229194500017911,16,4,20,20,1,March and start April,<ufunc 'add'>
1.836544599966146,8,6,14,14,1,March and start April,<ufunc 'add'>
1.0316582999657842,0,1,1,1,1,March and start April,<ufunc 'add'>
1.3881609999807552,11,11,22,22,1,March and start April,<ufunc 'add'>
1.1342750999610869,3,6,9,9,1,March and start April,<ufunc 'add'>
3.3271359000355005,17,10,27,27,1,March and start April,<ufunc 'add'>
2.1331652000080794,11,9,20,20,1,March and start April,<ufunc 'add'>
1.210962099954486,10,4,14,14,1,March and start April,<ufunc 'add'>
1.9755893999245016,19,7,26,26,1,March and start April,<ufunc 'add'>
1.2088977999519557,2,6,8,8,1,March and start April,<ufunc 'add'>
1.076036100042984,10,4,14,14,1,March and start April,<ufunc 'add'>
2.076927600079216,5,11,16,16,1,March and start April,<ufunc 'add'>
2.4943690000800416,12,13,25,25,1,March and start April,<ufunc 'add'>
2.0387072999728844,18,3,21,21,1,March and start April,<ufunc 'add'>
2.064771300065331,11,8,19,19,1,March and start April,<ufunc 'add'>
1.9016138999722896,6,14,20,20,1,March and start April,<ufunc 'add'>
3.705286500044167,14,5,19,19,1,March and start April,<ufunc 'add'>
2.7412321999436244,12,11,23,23,1,March and start April,<ufunc 'add'>
1.3684748000232505,7,7,14,14,1,March and start April,<ufunc 'add'>
1.627861800021492,15,6,21,21,1,March and start April,<ufunc 'add'>
2.9738291000248864,15,11,26,27,0,March and start April,<ufunc 'add'>
7.80488339997828,12,3,15,15,1,March and start April,<ufunc 'add'>
2.78769749996718,5,14,19,19,1,March and start April,<ufunc 'add'>
1.420054200105369,10,10,20,20,1,March and start April,<ufunc 'add'>
2.0139880999922752,19,7,26,26,1,March and start April,<ufunc 'add'>
1.862190300016664,6,15,21,21,1,March and start April,<ufunc 'add'>
3.247604600037449,19,2,21,21,1,March and start April,<ufunc 'add'>
2.0982567999744792,5,3,8,8,1,March and start April,<ufunc 'add'>
2.4304742000531405,11,7,18,18,1,March and start April,<ufunc 'add'>
0.9291447999999036,1,0,1,1,1,March and start April,<ufunc 'add'>
1.1675632000001317,3,1,4,4,1,March and start April,<ufunc 'add'>
0.8546507000000929,2,0,2,2,1,March and start April,<ufunc 'add'>
0.8556480000002011,0,3,3,3,1,March and start April,<ufunc 'add'>
1.4480375999999069,0,1,1,1,1,March and start April,<ufunc 'add'>
1.296075500000029,1,1,2,2,1,March and start April,<ufunc 'add'>
0.7358365000000049,2,0,2,2,1,March and start April,<ufunc 'add'>
48.784663800000104,2,3,5,5,1,March and start April,<ufunc 'add'>
0.99979089999988,0,2,2,2,1,March and start April,<ufunc 'add'>
1.2317904000000226,2,3,5,5,1,March and start April,<ufunc 'add'>
1.0962973999999122,3,2,5,5,1,March and start April,<ufunc 'add'>
1.081282599999895,3,1,4,4,1,March and start April,<ufunc 'add'>
1.5178883000000951,2,2,4,4,1,March and start April,<ufunc 'add'>
1.1447038000001155,2,3,5,5,1,March and start April,<ufunc 'add'>
1.1031444000000192,3,1,4,4,1,March and start April,<ufunc 'add'>
1.2567366000000106,0,0,0,0,1,March and start April,<ufunc 'add'>
0.951872399999985,4,0,4,4,1,March and start April,<ufunc 'add'>
1.2487002999999959,2,3,5,5,1,March and start April,<ufunc 'add'>
1.2080013999999435,3,3,6,6,1,March and start April,<ufunc 'add'>
1.0887436000000434,2,1,3,3,1,March and start April,<ufunc 'add'>
0.8809128999998848,0,2,2,2,1,March and start April,<ufunc 'add'>
2.096354400040582,6,7,13,13,1,March and start April,<ufunc 'add'>
1.3998078000731766,5,2,7,7,1,March and start April,<ufunc 'add'>
1.4372308000456542,3,4,7,7,1,March and start April,<ufunc 'add'>
1.4021921001840385,3,6,9,9,1,March and start April,<ufunc 'add'>
2.1616231000516564,1,7,8,8,1,March and start April,<ufunc 'add'>
1.6263345000334084,2,6,8,8,1,March and start April,<ufunc 'add'>
2.164707599906251,1,6,7,7,1,March and start April,<ufunc 'add'>
2.3288106999825686,2,6,8,8,1,March and start April,<ufunc 'add'>
1.9080662000924349,6,4,10,10,1,March and start April,<ufunc 'add'>
2.5265201001893733,7,8,15,15,1,March and start April,<ufunc 'add'>
1.3300402001477778,7,3,10,10,1,March and start April,<ufunc 'add'>
1.5914848998654634,3,8,11,11,1,March and start April,<ufunc 'add'>
1.381202700082213,5,5,10,10,1,March and start April,<ufunc 'add'>
4.164741799933837,7,9,16,16,1,March and start April,<ufunc 'add'>
1.4976109999697655,2,8,10,10,1,March and start April,<ufunc 'add'>
1.0976615000981838,2,3,5,5,1,March and start April,<ufunc 'add'>
1.206961400108412,6,1,7,7,1,March and start April,<ufunc 'add'>
1.0222310000099242,2,2,4,4,1,March and start April,<ufunc 'add'>
1.5668198000639677,8,1,9,9,1,March and start April,<ufunc 'add'>
2.4869165001437072,7,2,9,9,1,March and start April,<ufunc 'add'>
6.91356260003522,7,8,15,15,1,March and start April,<ufunc 'add'>
3.8188665001653135,7,6,13,13,1,March and start April,<ufunc 'add'>
